Name,Count,Year,Gender,Country
Joaquín,1018,1997,M,Chile
Mauricio,992,1997,M,Chile
Fernando,966,1997,M,Chile
Cristopher,888,1997,M,Chile
Sergio,888,1997,M,Chile
Tomás,888,1997,M,Chile
Andrés,862,1997,M,Chile
Ricardo,862,1997,M,Chile
Bryan,862,1997,M,Chile
Jonathan,809,1997,M,Chile
Álvaro,809,1997,M,Chile
Pedro,783,1997,M,Chile
Héctor,783,1997,M,Chile
José,4876,1994,M,Chile
Felipe,4619,1994,M,Chile
Juan,4306,1994,M,Chile
Nicolás,4220,1994,M,Chile
Luis,4135,1994,M,Chile
Diego,3906,1994,M,Chile
Sebastián,3878,1994,M,Chile
Matías,3422,1994,M,Chile
Francisco,3308,1994,M,Chile
Carlos,2966,1994,M,Chile
Cristian,2509,1994,M,Chile
Daniel,2452,1994,M,Chile
Ignacio,2395,1994,M,Chile
Jorge,2367,1994,M,Chile
Pablo,2281,1994,M,Chile
Rodrigo,2167,1994,M,Chile
Javier,1910,1994,M,Chile
Víctor,1882,1994,M,Chile
Eduardo,1625,1994,M,Chile
Manuel,1568,1994,M,Chile
Patricio,1568,1994,M,Chile
Marcelo,1540,1994,M,Chile
Claudio,1483,1994,M,Chile
Miguel,1483,1994,M,Chile
Bastián,1397,1994,M,Chile
Mauricio,1369,1994,M,Chile
David,1369,1994,M,Chile
Camilo,1369,1994,M,Chile
Fabián,1283,1994,M,Chile
Gabriel,1283,1994,M,Chile
Alejandro,1255,1994,M,Chile
Franco,1255,1994,M,Chile
Jonathan,1255,1994,M,Chile
Sergio,1226,1994,M,Chile
Ricardo,1141,1994,M,Chile
Gonzalo,1141,1994,M,Chile
Esteban,1141,1994,M,Chile
Fernando,1112,1994,M,Chile
Álvaro,1084,1994,M,Chile
Héctor,1055,1994,M,Chile
Cristóbal,1027,1994,M,Chile
Pedro,1027,1994,M,Chile
Andrés,1027,1994,M,Chile
Oscar,969,1994,M,Chile
Roberto,855,1994,M,Chile
Marco,827,1994,M,Chile
Joaquín,798,1994,M,Chile
Iván,798,1994,M,Chile
Jaime,770,1994,M,Chile
César,770,1994,M,Chile
Benjamin,9046,2005,M,Chile
Matias,4954,2005,M,Chile
Vicente,4092,2005,M,Chile
Martin,3781,2005,M,Chile
Sebastian,3422,2005,M,Chile
Diego,3087,2005,M,Chile
Nicolas,3063,2005,M,Chile
Juan,2489,2005,M,Chile
Jose,2489,2005,M,Chile
Cristobal,2369,2005,M,Chile
Joaquin,2321,2005,M,Chile
Ignacio,2154,2005,M,Chile
Felipe,2082,2005,M,Chile
Francisco,1771,2005,M,Chile
Bastian,1747,2005,M,Chile
Maximiliano,1627,2005,M,Chile
Javier,1603,2005,M,Chile
Gabriel,1579,2005,M,Chile
Tomas,1532,2005,M,Chile
Luis,1484,2005,M,Chile
Lucas,1220,2005,M,Chile
Franco,1197,2005,M,Chile
Daniel,1173,2005,M,Chile
Pablo,1125,2005,M,Chile
Carlos,1125,2005,M,Chile
Cristian,1053,2005,M,Chile
Rodrigo,1053,2005,M,Chile
Fernando,1005,2005,M,Chile
Renato,981,2005,M,Chile
David,957,2005,M,Chile
Jorge,933,2005,M,Chile
Agustin,909,2005,M,Chile
Kevin,766,2005,M,Chile
Fabian,718,2005,M,Chile
Esteban,718,2005,M,Chile
Victor,718,2005,M,Chile
Miguel,694,2005,M,Chile
Alejandro,670,2005,M,Chile
Manuel,670,2005,M,Chile
Alonso,646,2005,M,Chile
Eduardo,622,2005,M,Chile
Pedro,622,2005,M,Chile
Alvaro,598,2005,M,Chile
Angel,598,2005,M,Chile
Camilo,550,2005,M,Chile
Alexander,550,2005,M,Chile
Patricio,526,2005,M,Chile
Marcelo,526,2005,M,Chile
Andres,526,2005,M,Chile
Gonzalo,503,2005,M,Chile
Luciano,503,2005,M,Chile
Claudio,479,2005,M,Chile
Mauricio,479,2005,M,Chile
Sergio,455,2005,M,Chile
Ricardo,455,2005,M,Chile
Cristopher,455,2005,M,Chile
Alan,455,2005,M,Chile
Mateo,431,2005,M,Chile
Marco,431,2005,M,Chile
Hector,407,2005,M,Chile
Amaro,407,2005,M,Chile
Jesus,407,2005,M,Chile
Bruno,383,2005,M,Chile
Leandro,383,2005,M,Chile
Oscar,383,2005,M,Chile
Maximo,383,2005,M,Chile
Brandon,383,2005,M,Chile
Brayan,359,2005,M,Chile
Santiago,359,2005,M,Chile
Alexis,359,2005,M,Chile
Ariel,335,2005,M,Chile
Alex,335,2005,M,Chile
Leonardo,335,2005,M,Chile
Roberto,335,2005,M,Chile
Jonathan,335,2005,M,Chile
Cesar,311,2005,M,Chile
Elias,311,2005,M,Chile
Gustavo,311,2005,M,Chile
Ivan,311,2005,M,Chile
Rafael,311,2005,M,Chile
Lukas,311,2005,M,Chile
Simon,311,2005,M,Chile
Damian,287,2005,M,Chile
Thomas,287,2005,M,Chile
Jean,287,2005,M,Chile
Isaac,287,2005,M,Chile
Julian,287,2005,M,Chile
Guillermo,287,2005,M,Chile
Samuel,287,2005,M,Chile
Jaime,263,2005,M,Chile
Antonio,263,2005,M,Chile
Axel,263,2005,M,Chile
Dylan,239,2005,M,Chile
Emilio,239,2005,M,Chile
Bryan,239,2005,M,Chile
Josue,239,2005,M,Chile
Mario,239,2005,M,Chile
Jordan,239,2005,M,Chile
Dilan,239,2005,M,Chile
Ian,239,2005,M,Chile
Nicolás,5969,1998,M,Chile
Matías,5483,1998,M,Chile
Sebastián,4637,1998,M,Chile
Diego,4176,1998,M,Chile
José,3997,1998,M,Chile
Felipe,3715,1998,M,Chile
Ignacio,2921,1998,M,Chile
Juan,2716,1998,M,Chile
Francisco,2613,1998,M,Chile
Luis,2588,1998,M,Chile
Javier,2255,1998,M,Chile
Carlos,2152,1998,M,Chile
Cristian,2050,1998,M,Chile
Daniel,1845,1998,M,Chile
Rodrigo,1742,1998,M,Chile
Bastián,1717,1998,M,Chile
Pablo,1691,1998,M,Chile
Jorge,1691,1998,M,Chile
Benjamín,1640,1998,M,Chile
Kevin,1640,1998,M,Chile
Cristóbal,1588,1998,M,Chile
Marcelo,1409,1998,M,Chile
Fabián,1255,1998,M,Chile
Joaquín,1204,1998,M,Chile
Víctor,1179,1998,M,Chile
Bryan,1102,1998,M,Chile
Manuel,1076,1998,M,Chile
Eduardo,1076,1998,M,Chile
David,1076,1998,M,Chile
Vicente,1050,1998,M,Chile
Franco,1025,1998,M,Chile
Alejandro,1025,1998,M,Chile
Camilo,999,1998,M,Chile
Claudio,974,1998,M,Chile
Maximiliano,974,1998,M,Chile
Miguel,974,1998,M,Chile
Fernando,948,1998,M,Chile
Patricio,948,1998,M,Chile
Tomás,897,1998,M,Chile
Mauricio,871,1998,M,Chile
Gabriel,871,1998,M,Chile
Sergio,845,1998,M,Chile
Andrés,845,1998,M,Chile
Ricardo,794,1998,M,Chile
Gonzalo,769,1998,M,Chile
Esteban,769,1998,M,Chile
Pedro,743,1998,M,Chile
Brayan,743,1998,M,Chile
Álvaro,717,1998,M,Chile
Iván,717,1998,M,Chile
Nicolás,5911,1999,M,Chile
Matías,5088,1999,M,Chile
Sebastián,4614,1999,M,Chile
Diego,3916,1999,M,Chile
José,3492,1999,M,Chile
Felipe,3417,1999,M,Chile
Juan,2719,1999,M,Chile
Benjamín,2644,1999,M,Chile
Bastián,2544,1999,M,Chile
Ignacio,2444,1999,M,Chile
Luis,2444,1999,M,Chile
Francisco,2369,1999,M,Chile
Javier,2120,1999,M,Chile
Carlos,1970,1999,M,Chile
Daniel,1920,1999,M,Chile
Cristian,1771,1999,M,Chile
Cristóbal,1671,1999,M,Chile
Jorge,1646,1999,M,Chile
Joaquín,1621,1999,M,Chile
Pablo,1596,1999,M,Chile
Rodrigo,1596,1999,M,Chile
Kevin,1521,1999,M,Chile
Marcelo,1247,1999,M,Chile
Vicente,1222,1999,M,Chile
Víctor,1197,1999,M,Chile
Fabián,1147,1999,M,Chile
Tomás,1147,1999,M,Chile
David,1023,1999,M,Chile
Eduardo,998,1999,M,Chile
Fernando,948,1999,M,Chile
Martín,948,1999,M,Chile
Alejandro,923,1999,M,Chile
Manuel,923,1999,M,Chile
Bryan,923,1999,M,Chile
Camilo,898,1999,M,Chile
Gabriel,873,1999,M,Chile
Miguel,873,1999,M,Chile
Franco,873,1999,M,Chile
Esteban,848,1999,M,Chile
Mauricio,848,1999,M,Chile
Patricio,848,1999,M,Chile
Claudio,823,1999,M,Chile
Sergio,798,1999,M,Chile
Andrés,773,1999,M,Chile
Ricardo,748,1999,M,Chile
Brayan,748,1999,M,Chile
Lucas,748,1999,M,Chile
Gonzalo,723,1999,M,Chile
Álvaro,723,1999,M,Chile
Pedro,698,1999,M,Chile
Benjamin,8183,2004,M,Chile
Matias,4450,2004,M,Chile
Sebastian,3517,2004,M,Chile
Diego,3326,2004,M,Chile
Vicente,3110,2004,M,Chile
Martin,3110,2004,M,Chile
Nicolas,3015,2004,M,Chile
Joaquin,2584,2004,M,Chile
Jose,2560,2004,M,Chile
Cristobal,2440,2004,M,Chile
Juan,2225,2004,M,Chile
Felipe,2225,2004,M,Chile
Ignacio,2129,2004,M,Chile
Francisco,1866,2004,M,Chile
Bastian,1818,2004,M,Chile
Luis,1699,2004,M,Chile
Maximiliano,1699,2004,M,Chile
Javier,1603,2004,M,Chile
Tomas,1531,2004,M,Chile
Gabriel,1268,2004,M,Chile
Daniel,1244,2004,M,Chile
Carlos,1244,2004,M,Chile
Pablo,1196,2004,M,Chile
Cristian,1172,2004,M,Chile
Lucas,1077,2004,M,Chile
Jorge,1077,2004,M,Chile
Rodrigo,1077,2004,M,Chile
Fernando,1053,2004,M,Chile
David,957,2004,M,Chile
Kevin,885,2004,M,Chile
Renato,885,2004,M,Chile
Fabian,861,2004,M,Chile
Miguel,766,2004,M,Chile
Victor,766,2004,M,Chile
Agustin,742,2004,M,Chile
Franco,718,2004,M,Chile
Camilo,718,2004,M,Chile
Esteban,718,2004,M,Chile
Alejandro,694,2004,M,Chile
Manuel,670,2004,M,Chile
Alonso,670,2004,M,Chile
Marcelo,646,2004,M,Chile
Eduardo,622,2004,M,Chile
Alvaro,622,2004,M,Chile
Patricio,598,2004,M,Chile
Cristopher,598,2004,M,Chile
Angel,574,2004,M,Chile
Mauricio,574,2004,M,Chile
Claudio,550,2004,M,Chile
Ricardo,550,2004,M,Chile
Andres,550,2004,M,Chile
Alexander,526,2004,M,Chile
Pedro,526,2004,M,Chile
Sergio,502,2004,M,Chile
Leandro,479,2004,M,Chile
Gonzalo,479,2004,M,Chile
Alex,455,2004,M,Chile
Alan,455,2004,M,Chile
Amaro,455,2004,M,Chile
Marco,431,2004,M,Chile
Jesus,431,2004,M,Chile
Alexis,407,2004,M,Chile
Brandon,407,2004,M,Chile
Jonathan,407,2004,M,Chile
Bruno,407,2004,M,Chile
Ariel,407,2004,M,Chile
Oscar,407,2004,M,Chile
Brayan,383,2004,M,Chile
Hector,383,2004,M,Chile
Luciano,383,2004,M,Chile
Ivan,383,2004,M,Chile
Leonardo,383,2004,M,Chile
Bryan,359,2004,M,Chile
Cesar,335,2004,M,Chile
Angelo,335,2004,M,Chile
Roberto,335,2004,M,Chile
Elias,335,2004,M,Chile
Damian,311,2004,M,Chile
Jean,311,2004,M,Chile
Jeremy,311,2004,M,Chile
Jordan,311,2004,M,Chile
Dylan,311,2004,M,Chile
Gustavo,311,2004,M,Chile
Josue,287,2004,M,Chile
Isaac,287,2004,M,Chile
Mario,287,2004,M,Chile
Antonio,287,2004,M,Chile
Lukas,287,2004,M,Chile
Thomas,287,2004,M,Chile
Jaime,263,2004,M,Chile
Maximo,263,2004,M,Chile
Rafael,263,2004,M,Chile
Samuel,263,2004,M,Chile
Guillermo,263,2004,M,Chile
Emilio,263,2004,M,Chile
Simon,263,2004,M,Chile
Christian,239,2004,M,Chile
Santiago,239,2004,M,Chile
Ian,239,2004,M,Chile
Axel,239,2004,M,Chile
Sebastián,4647,1995,M,Chile
José,4482,1995,M,Chile
Felipe,4427,1995,M,Chile
Matías,4400,1995,M,Chile
Juan,3932,1995,M,Chile
Diego,3767,1995,M,Chile
Nicolás,3712,1995,M,Chile
Luis,3685,1995,M,Chile
Francisco,3080,1995,M,Chile
Carlos,2777,1995,M,Chile
Cristian,2502,1995,M,Chile
Daniel,2475,1995,M,Chile
Jorge,2310,1995,M,Chile
Ignacio,2117,1995,M,Chile
Javier,2117,1995,M,Chile
Rodrigo,2090,1995,M,Chile
Pablo,2062,1995,M,Chile
Bastián,1760,1995,M,Chile
Víctor,1760,1995,M,Chile
Eduardo,1512,1995,M,Chile
Manuel,1457,1995,M,Chile
Patricio,1375,1995,M,Chile
Camilo,1347,1995,M,Chile
Marcelo,1347,1995,M,Chile
Claudio,1292,1995,M,Chile
Fabián,1265,1995,M,Chile
Miguel,1265,1995,M,Chile
Mauricio,1210,1995,M,Chile
Gabriel,1210,1995,M,Chile
Gonzalo,1182,1995,M,Chile
Cristóbal,1155,1995,M,Chile
Sergio,1155,1995,M,Chile
Jonathan,1127,1995,M,Chile
Kevin,1127,1995,M,Chile
David,1127,1995,M,Chile
Alejandro,1127,1995,M,Chile
Franco,1127,1995,M,Chile
Esteban,1100,1995,M,Chile
Ricardo,1100,1995,M,Chile
Fernando,1072,1995,M,Chile
Benjamín,1045,1995,M,Chile
Álvaro,962,1995,M,Chile
Andrés,935,1995,M,Chile
Pedro,935,1995,M,Chile
Héctor,907,1995,M,Chile
Oscar,880,1995,M,Chile
Bryan,825,1995,M,Chile
Iván,825,1995,M,Chile
Roberto,797,1995,M,Chile
Joaquín,770,1995,M,Chile
Felipe,5555,1992,M,Chile
Diego,5083,1992,M,Chile
Juan,4787,1992,M,Chile
José,4698,1992,M,Chile
Luis,4492,1992,M,Chile
Sebastián,4226,1992,M,Chile
Francisco,3664,1992,M,Chile
