Rank,Name,Count,Gender,Year,Country
22,Macarena,966,F,1997,Chile
23,Rocío,888,F,1997,Chile
24,Belén,862,F,1997,Chile
25,Paulina,836,F,1997,Chile
26,Alejandra,809,F,1997,Chile
27,Ana,783,F,1997,Chile
28,Michelle,783,F,1997,Chile
29,Romina,757,F,1997,Chile
30,Karina,731,F,1997,Chile
31,Danitza,705,F,1997,Chile
32,Karla,679,F,1997,Chile
33,Andrea,679,F,1997,Chile
34,Karen,574,F,1997,Chile
35,Genesis,574,F,1997,Chile
36,Patricia,574,F,1997,Chile
37,Marcela,574,F,1997,Chile
38,Vanessa,574,F,1997,Chile
39,Elizabeth,574,F,1997,Chile
40,Isidora,548,F,1997,Chile
41,Estefanía,522,F,1997,Chile
42,Antonia,522,F,1997,Chile
43,Pamela,496,F,1997,Chile
44,Victoria,496,F,1997,Chile
45,Alexandra,470,F,1997,Chile
46,Nicol,418,F,1997,Chile
47,Paola,418,F,1997,Chile
48,Vania,418,F,1997,Chile
49,Angela,392,F,1997,Chile
50,Pía,392,F,1997,Chile
1,Camila,9296,F,1994,Chile
2,María,7072,F,1994,Chile
3,Daniela,4705,F,1994,Chile
4,Constanza,4021,F,1994,Chile
5,Francisca,3336,F,1994,Chile
6,Valentina,2395,F,1994,Chile
7,Bárbara,2338,F,1994,Chile
8,Javiera,2310,F,1994,Chile
9,Carolina,2253,F,1994,Chile
10,Nicole,2196,F,1994,Chile
11,Macarena,2139,F,1994,Chile
12,Catalina,1882,F,1994,Chile
13,Claudia,1882,F,1994,Chile
14,Katherine,1853,F,1994,Chile
15,Fernanda,1768,F,1994,Chile
16,Paula,1540,F,1994,Chile
17,Natalia,1397,F,1994,Chile
18,Carla,1369,F,1994,Chile
19,Gabriela,1169,F,1994,Chile
20,Paulina,1141,F,1994,Chile
21,Alejandra,1055,F,1994,Chile
22,Andrea,1027,F,1994,Chile
23,Tamara,998,F,1994,Chile
24,Ana,998,F,1994,Chile
25,Karina,998,F,1994,Chile
26,Valeria,855,F,1994,Chile
27,Marcela,855,F,1994,Chile
28,Romina,827,F,1994,Chile
29,Karen,827,F,1994,Chile
30,Karla,827,F,1994,Chile
31,Patricia,798,F,1994,Chile
32,Elizabeth,770,F,1994,Chile
33,Nicol,713,F,1994,Chile
34,Vanessa,684,F,1994,Chile
35,Pamela,684,F,1994,Chile
36,Rocío,656,F,1994,Chile
37,Victoria,656,F,1994,Chile
38,Yaritza,656,F,1994,Chile
39,Belén,627,F,1994,Chile
40,Sofía,599,F,1994,Chile
41,Jocelyn,570,F,1994,Chile
42,Paola,542,F,1994,Chile
43,Rosa,513,F,1994,Chile
44,Michelle,513,F,1994,Chile
45,Tania,513,F,1994,Chile
46,Angela,485,F,1994,Chile
47,Verónica,485,F,1994,Chile
48,Estefanía,485,F,1994,Chile
49,Jennifer,485,F,1994,Chile
50,Evelyn,456,F,1994,Chile
1,Constanza,4547,F,2005,Chile
2,Catalina,4379,F,2005,Chile
3,Valentina,4188,F,2005,Chile
4,Javiera,3757,F,2005,Chile
5,Martina,3661,F,2005,Chile
6,Sofia,3350,F,2005,Chile
7,Maria,3063,F,2005,Chile
8,Antonia,3039,F,2005,Chile
9,Fernanda,2896,F,2005,Chile
10,Francisca,2824,F,2005,Chile
11,Isidora,2465,F,2005,Chile
12,Camila,2226,F,2005,Chile
13,Florencia,1412,F,2005,Chile
14,Josefa,1292,F,2005,Chile
15,Daniela,1244,F,2005,Chile
16,Antonella,1149,F,2005,Chile
17,Millaray,1053,F,2005,Chile
18,Barbara,1005,F,2005,Chile
19,Belen,1005,F,2005,Chile
20,Rocio,885,F,2005,Chile
21,Ignacia,861,F,2005,Chile
22,Krishna,814,F,2005,Chile
23,Monserrat,742,F,2005,Chile
24,Gabriela,742,F,2005,Chile
25,Anais,718,F,2005,Chile
26,Carolina,670,F,2005,Chile
27,Natalia,670,F,2005,Chile
28,Pia,670,F,2005,Chile
29,Victoria,622,F,2005,Chile
30,Paula,622,F,2005,Chile
31,Emilia,622,F,2005,Chile
32,Renata,574,F,2005,Chile
33,Carla,574,F,2005,Chile
34,Alondra,526,F,2005,Chile
35,Genesis,526,F,2005,Chile
36,Amanda,503,F,2005,Chile
37,Paz,503,F,2005,Chile
38,Magdalena,479,F,2005,Chile
39,Alejandra,455,F,2005,Chile
40,Laura,455,F,2005,Chile
41,Tamara,455,F,2005,Chile
42,Nicole,431,F,2005,Chile
43,Karla,431,F,2005,Chile
44,Trinidad,431,F,2005,Chile
45,Claudia,407,F,2005,Chile
46,Katalina,407,F,2005,Chile
47,Alexandra,407,F,2005,Chile
48,Josefina,383,F,2005,Chile
49,Maite,383,F,2005,Chile
50,Paloma,359,F,2005,Chile
51,Macarena,359,F,2005,Chile
52,Angela,359,F,2005,Chile
53,Noelia,359,F,2005,Chile
54,Katherine,335,F,2005,Chile
55,Agustina,335,F,2005,Chile
56,Karen,335,F,2005,Chile
57,Paulina,335,F,2005,Chile
58,Mariana,311,F,2005,Chile
59,Matilde,287,F,2005,Chile
60,Michelle,287,F,2005,Chile
61,Romina,287,F,2005,Chile
62,Maura,287,F,2005,Chile
63,Kiara,287,F,2005,Chile
64,Ana,287,F,2005,Chile
65,Almendra,287,F,2005,Chile
66,Consuelo,287,F,2005,Chile
67,Valeria,287,F,2005,Chile
68,Rayen,263,F,2005,Chile
69,Danae,263,F,2005,Chile
70,Matilda,263,F,2005,Chile
71,Dafne,263,F,2005,Chile
72,Andrea,239,F,2005,Chile
73,Estefania,239,F,2005,Chile
74,Thiare,239,F,2005,Chile
75,Noemi,239,F,2005,Chile
76,Isabel,215,F,2005,Chile
77,Tiare,215,F,2005,Chile
78,Elizabeth,215,F,2005,Chile
79,Esperanza,215,F,2005,Chile
80,Dayris,215,F,2005,Chile
81,Marcela,215,F,2005,Chile
82,Colomba,215,F,2005,Chile
83,Emily,191,F,2005,Chile
84,Tania,191,F,2005,Chile
85,Scarlett,191,F,2005,Chile
86,Patricia,191,F,2005,Chile
87,Karina,191,F,2005,Chile
88,Denisse,191,F,2005,Chile
89,Damaris,191,F,2005,Chile
90,Pamela,191,F,2005,Chile
91,Nicol,168,F,2005,Chile
92,Yasmin,168,F,2005,Chile
93,Franchesca,168,F,2005,Chile
94,Sophia,168,F,2005,Chile
95,Nayareth,168,F,2005,Chile
96,Giuliana,168,F,2005,Chile
97,Ayleen,168,F,2005,Chile
98,Montserrat,168,F,2005,Chile
99,Aylin,168,F,2005,Chile
100,Scarleth,168,F,2005,Chile
1,Javiera,7276,F,1998,Chile
2,Camila,7020,F,1998,Chile
3,María,5457,F,1998,Chile
4,Catalina,4586,F,1998,Chile
5,Francisca,3766,F,1998,Chile
6,Constanza,3407,F,1998,Chile
7,Valentina,3331,F,1998,Chile
8,Daniela,2664,F,1998,Chile
9,Fernanda,1921,F,1998,Chile
10,Bárbara,1819,F,1998,Chile
11,Carolina,1563,F,1998,Chile
12,Sofía,1255,F,1998,Chile
13,Paula,1179,F,1998,Chile
14,Carla,1153,F,1998,Chile
15,Natalia,1127,F,1998,Chile
16,Katherine,1102,F,1998,Chile
17,Claudia,1076,F,1998,Chile
18,Tamara,1050,F,1998,Chile
19,Nicole,974,F,1998,Chile
20,Valeria,948,F,1998,Chile
21,Belén,897,F,1998,Chile
22,Gabriela,871,F,1998,Chile
23,Alejandra,845,F,1998,Chile
24,Paulina,845,F,1998,Chile
25,Rocío,845,F,1998,Chile
26,Macarena,820,F,1998,Chile
27,Karla,717,F,1998,Chile
28,Romina,717,F,1998,Chile
29,Karina,692,F,1998,Chile
30,Michelle,692,F,1998,Chile
31,Antonia,666,F,1998,Chile
32,Ana,640,F,1998,Chile
33,Andrea,615,F,1998,Chile
34,Isidora,615,F,1998,Chile
35,Josefa,589,F,1998,Chile
36,Patricia,589,F,1998,Chile
37,Marcela,564,F,1998,Chile
38,Vanessa,564,F,1998,Chile
39,Karen,538,F,1998,Chile
40,Genesis,538,F,1998,Chile
41,Elizabeth,538,F,1998,Chile
42,Danitza,512,F,1998,Chile
43,Ignacia,487,F,1998,Chile
44,Victoria,487,F,1998,Chile
45,Tiare,487,F,1998,Chile
46,Alexandra,487,F,1998,Chile
47,Estefanía,461,F,1998,Chile
48,Denisse,436,F,1998,Chile
49,Pamela,410,F,1998,Chile
50,Paola,384,F,1998,Chile
1,Javiera,6609,F,1999,Chile
2,Catalina,5562,F,1999,Chile
3,Camila,5287,F,1999,Chile
4,María,4639,F,1999,Chile
5,Valentina,4115,F,1999,Chile
6,Francisca,3417,F,1999,Chile
7,Constanza,3068,F,1999,Chile
8,Daniela,2569,F,1999,Chile
9,Fernanda,2295,F,1999,Chile
10,Bárbara,1646,F,1999,Chile
11,Sofía,1621,F,1999,Chile
12,Carolina,1397,F,1999,Chile
13,Carla,1048,F,1999,Chile
14,Natalia,998,F,1999,Chile
15,Belén,998,F,1999,Chile
16,Tamara,998,F,1999,Chile
17,Katherine,973,F,1999,Chile
18,Paula,948,F,1999,Chile
19,Claudia,923,F,1999,Chile
20,Rocío,848,F,1999,Chile
21,Paulina,823,F,1999,Chile
22,Valeria,823,F,1999,Chile
23,Nicole,823,F,1999,Chile
24,Gabriela,798,F,1999,Chile
25,Ignacia,748,F,1999,Chile
26,Macarena,723,F,1999,Chile
27,Alejandra,723,F,1999,Chile
28,Antonia,698,F,1999,Chile
29,Alexandra,673,F,1999,Chile
30,Karla,648,F,1999,Chile
31,Isidora,648,F,1999,Chile
32,Scarlett,599,F,1999,Chile
33,Denisse,574,F,1999,Chile
34,Génesis,574,F,1999,Chile
35,Ana,549,F,1999,Chile
36,Andrea,549,F,1999,Chile
37,Josefa,549,F,1999,Chile
38,Vanessa,524,F,1999,Chile
39,Romina,524,F,1999,Chile
40,Karen,524,F,1999,Chile
