Rank,Name,Count,Gender,Year,Country
6,Diego,3564,M,1996,Chile
7,Juan,3403,M,1996,Chile
8,Luis,3323,M,1996,Chile
9,Francisco,2814,M,1996,Chile
10,Cristian,2546,M,1996,Chile
11,Carlos,2438,M,1996,Chile
12,Rodrigo,2197,M,1996,Chile
13,Javier,2170,M,1996,Chile
14,Daniel,2144,M,1996,Chile
15,Ignacio,2117,M,1996,Chile
16,Jorge,2010,M,1996,Chile
17,Pablo,1903,M,1996,Chile
18,Benjamín,1876,M,1996,Chile
19,Bastián,1849,M,1996,Chile
20,Víctor,1527,M,1996,Chile
21,Esteban,1447,M,1996,Chile
22,Fabián,1393,M,1996,Chile
23,Manuel,1393,M,1996,Chile
24,Eduardo,1367,M,1996,Chile
25,Camilo,1340,M,1996,Chile
26,Kevin,1286,M,1996,Chile
27,Claudio,1259,M,1996,Chile
28,Marcelo,1259,M,1996,Chile
29,Cristóbal,1233,M,1996,Chile
30,Miguel,1233,M,1996,Chile
31,Gabriel,1233,M,1996,Chile
32,Patricio,1233,M,1996,Chile
33,Franco,1125,M,1996,Chile
34,David,1125,M,1996,Chile
35,Mauricio,1099,M,1996,Chile
36,Gonzalo,1099,M,1996,Chile
37,Alejandro,1099,M,1996,Chile
38,Sergio,1072,M,1996,Chile
39,Cristopher,1045,M,1996,Chile
40,Ricardo,965,M,1996,Chile
41,Fernando,965,M,1996,Chile
42,Andrés,965,M,1996,Chile
43,Jonathan,938,M,1996,Chile
44,Álvaro,884,M,1996,Chile
45,Pedro,884,M,1996,Chile
46,Joaquín,804,M,1996,Chile
47,Héctor,804,M,1996,Chile
48,Bryan,777,M,1996,Chile
49,Oscar,750,M,1996,Chile
50,Tomás,697,M,1996,Chile
1,Nicolás,5510,M,1997,Chile
2,Matías,5013,M,1997,Chile
3,Diego,4700,M,1997,Chile
4,Sebastián,4700,M,1997,Chile
5,Felipe,3995,M,1997,Chile
6,José,3734,M,1997,Chile
7,Luis,3081,M,1997,Chile
8,Juan,3029,M,1997,Chile
9,Francisco,2794,M,1997,Chile
10,Ignacio,2533,M,1997,Chile
11,Cristian,2272,M,1997,Chile
12,Carlos,2167,M,1997,Chile
13,Javier,2089,M,1997,Chile
14,Rodrigo,1932,M,1997,Chile
15,Jorge,1880,M,1997,Chile
16,Daniel,1828,M,1997,Chile
17,Bastián,1776,M,1997,Chile
18,Pablo,1671,M,1997,Chile
19,Cristóbal,1619,M,1997,Chile
20,Benjamín,1567,M,1997,Chile
21,Fabián,1567,M,1997,Chile
22,Kevin,1514,M,1997,Chile
23,Víctor,1358,M,1997,Chile
24,Marcelo,1253,M,1997,Chile
25,Manuel,1201,M,1997,Chile
26,Franco,1175,M,1997,Chile
27,David,1149,M,1997,Chile
28,Eduardo,1123,M,1997,Chile
29,Vicente,1097,M,1997,Chile
30,Camilo,1097,M,1997,Chile
31,Patricio,1097,M,1997,Chile
32,Claudio,1097,M,1997,Chile
33,Gonzalo,1097,M,1997,Chile
34,Gabriel,1071,M,1997,Chile
35,Miguel,1071,M,1997,Chile
36,Esteban,1044,M,1997,Chile
37,Alejandro,1044,M,1997,Chile
38,Joaquín,1018,M,1997,Chile
39,Mauricio,992,M,1997,Chile
40,Fernando,966,M,1997,Chile
41,Cristopher,888,M,1997,Chile
42,Sergio,888,M,1997,Chile
43,Tomás,888,M,1997,Chile
44,Andrés,862,M,1997,Chile
45,Ricardo,862,M,1997,Chile
46,Bryan,862,M,1997,Chile
47,Jonathan,809,M,1997,Chile
48,Álvaro,809,M,1997,Chile
49,Pedro,783,M,1997,Chile
50,Héctor,783,M,1997,Chile
1,José,4876,M,1994,Chile
2,Felipe,4619,M,1994,Chile
3,Juan,4306,M,1994,Chile
4,Nicolás,4220,M,1994,Chile
5,Luis,4135,M,1994,Chile
6,Diego,3906,M,1994,Chile
7,Sebastián,3878,M,1994,Chile
8,Matías,3422,M,1994,Chile
9,Francisco,3308,M,1994,Chile
10,Carlos,2966,M,1994,Chile
11,Cristian,2509,M,1994,Chile
12,Daniel,2452,M,1994,Chile
13,Ignacio,2395,M,1994,Chile
14,Jorge,2367,M,1994,Chile
15,Pablo,2281,M,1994,Chile
16,Rodrigo,2167,M,1994,Chile
17,Javier,1910,M,1994,Chile
18,Víctor,1882,M,1994,Chile
19,Eduardo,1625,M,1994,Chile
20,Manuel,1568,M,1994,Chile
21,Patricio,1568,M,1994,Chile
22,Marcelo,1540,M,1994,Chile
23,Claudio,1483,M,1994,Chile
24,Miguel,1483,M,1994,Chile
25,Bastián,1397,M,1994,Chile
26,Mauricio,1369,M,1994,Chile
27,David,1369,M,1994,Chile
28,Camilo,1369,M,1994,Chile
29,Fabián,1283,M,1994,Chile
30,Gabriel,1283,M,1994,Chile
31,Alejandro,1255,M,1994,Chile
32,Franco,1255,M,1994,Chile
33,Jonathan,1255,M,1994,Chile
34,Sergio,1226,M,1994,Chile
35,Ricardo,1141,M,1994,Chile
36,Gonzalo,1141,M,1994,Chile
37,Esteban,1141,M,1994,Chile
38,Fernando,1112,M,1994,Chile
39,Álvaro,1084,M,1994,Chile
40,Héctor,1055,M,1994,Chile
41,Cristóbal,1027,M,1994,Chile
42,Pedro,1027,M,1994,Chile
43,Andrés,1027,M,1994,Chile
44,Oscar,969,M,1994,Chile
45,Roberto,855,M,1994,Chile
46,Marco,827,M,1994,Chile
47,Joaquín,798,M,1994,Chile
48,Iván,798,M,1994,Chile
49,Jaime,770,M,1994,Chile
50,César,770,M,1994,Chile
1,Benjamin,9046,M,2005,Chile
2,Matias,4954,M,2005,Chile
3,Vicente,4092,M,2005,Chile
4,Martin,3781,M,2005,Chile
5,Sebastian,3422,M,2005,Chile
6,Diego,3087,M,2005,Chile
7,Nicolas,3063,M,2005,Chile
8,Juan,2489,M,2005,Chile
9,Jose,2489,M,2005,Chile
10,Cristobal,2369,M,2005,Chile
11,Joaquin,2321,M,2005,Chile
12,Ignacio,2154,M,2005,Chile
13,Felipe,2082,M,2005,Chile
14,Francisco,1771,M,2005,Chile
15,Bastian,1747,M,2005,Chile
16,Maximiliano,1627,M,2005,Chile
17,Javier,1603,M,2005,Chile
18,Gabriel,1579,M,2005,Chile
19,Tomas,1532,M,2005,Chile
20,Luis,1484,M,2005,Chile
21,Lucas,1220,M,2005,Chile
22,Franco,1197,M,2005,Chile
23,Daniel,1173,M,2005,Chile
24,Pablo,1125,M,2005,Chile
25,Carlos,1125,M,2005,Chile
26,Cristian,1053,M,2005,Chile
27,Rodrigo,1053,M,2005,Chile
28,Fernando,1005,M,2005,Chile
29,Renato,981,M,2005,Chile
30,David,957,M,2005,Chile
31,Jorge,933,M,2005,Chile
32,Agustin,909,M,2005,Chile
33,Kevin,766,M,2005,Chile
34,Fabian,718,M,2005,Chile
35,Esteban,718,M,2005,Chile
36,Victor,718,M,2005,Chile
37,Miguel,694,M,2005,Chile
38,Alejandro,670,M,2005,Chile
39,Manuel,670,M,2005,Chile
40,Alonso,646,M,2005,Chile
41,Eduardo,622,M,2005,Chile
42,Pedro,622,M,2005,Chile
43,Alvaro,598,M,2005,Chile
44,Angel,598,M,2005,Chile
45,Camilo,550,M,2005,Chile
46,Alexander,550,M,2005,Chile
47,Patricio,526,M,2005,Chile
48,Marcelo,526,M,2005,Chile
49,Andres,526,M,2005,Chile
50,Gonzalo,503,M,2005,Chile
51,Luciano,503,M,2005,Chile
52,Claudio,479,M,2005,Chile
53,Mauricio,479,M,2005,Chile
54,Sergio,455,M,2005,Chile
55,Ricardo,455,M,2005,Chile
56,Cristopher,455,M,2005,Chile
57,Alan,455,M,2005,Chile
58,Mateo,431,M,2005,Chile
59,Marco,431,M,2005,Chile
60,Hector,407,M,2005,Chile
61,Amaro,407,M,2005,Chile
62,Jesus,407,M,2005,Chile
63,Bruno,383,M,2005,Chile
64,Leandro,383,M,2005,Chile
65,Oscar,383,M,2005,Chile
66,Maximo,383,M,2005,Chile
67,Brandon,383,M,2005,Chile
68,Brayan,359,M,2005,Chile
69,Santiago,359,M,2005,Chile
70,Alexis,359,M,2005,Chile
71,Ariel,335,M,2005,Chile
72,Alex,335,M,2005,Chile
73,Leonardo,335,M,2005,Chile
74,Roberto,335,M,2005,Chile
75,Jonathan,335,M,2005,Chile
76,Cesar,311,M,2005,Chile
77,Elias,311,M,2005,Chile
78,Gustavo,311,M,2005,Chile
79,Ivan,311,M,2005,Chile
80,Rafael,311,M,2005,Chile
81,Lukas,311,M,2005,Chile
82,Simon,311,M,2005,Chile
83,Damian,287,M,2005,Chile
84,Thomas,287,M,2005,Chile
85,Jean,287,M,2005,Chile
86,Isaac,287,M,2005,Chile
87,Julian,287,M,2005,Chile
88,Guillermo,287,M,2005,Chile
89,Samuel,287,M,2005,Chile
90,Jaime,263,M,2005,Chile
91,Antonio,263,M,2005,Chile
92,Axel,263,M,2005,Chile
