Rank,Name,Count,Year,Country
44,Victoria,496,1997,Chile
45,Alexandra,470,1997,Chile
46,Nicol,418,1997,Chile
47,Paola,418,1997,Chile
48,Vania,418,1997,Chile
49,Angela,392,1997,Chile
50,Pía,392,1997,Chile
1,Camila,9296,1994,Chile
2,María,7072,1994,Chile
3,Daniela,4705,1994,Chile
4,Constanza,4021,1994,Chile
5,Francisca,3336,1994,Chile
6,Valentina,2395,1994,Chile
7,Bárbara,2338,1994,Chile
8,Javiera,2310,1994,Chile
9,Carolina,2253,1994,Chile
10,Nicole,2196,1994,Chile
11,Macarena,2139,1994,Chile
12,Catalina,1882,1994,Chile
13,Claudia,1882,1994,Chile
14,Katherine,1853,1994,Chile
15,Fernanda,1768,1994,Chile
16,Paula,1540,1994,Chile
17,Natalia,1397,1994,Chile
18,Carla,1369,1994,Chile
19,Gabriela,1169,1994,Chile
20,Paulina,1141,1994,Chile
21,Alejandra,1055,1994,Chile
22,Andrea,1027,1994,Chile
23,Tamara,998,1994,Chile
24,Ana,998,1994,Chile
25,Karina,998,1994,Chile
26,Valeria,855,1994,Chile
27,Marcela,855,1994,Chile
28,Romina,827,1994,Chile
29,Karen,827,1994,Chile
30,Karla,827,1994,Chile
31,Patricia,798,1994,Chile
32,Elizabeth,770,1994,Chile
33,Nicol,713,1994,Chile
34,Vanessa,684,1994,Chile
35,Pamela,684,1994,Chile
36,Rocío,656,1994,Chile
37,Victoria,656,1994,Chile
38,Yaritza,656,1994,Chile
39,Belén,627,1994,Chile
40,Sofía,599,1994,Chile
41,Jocelyn,570,1994,Chile
42,Paola,542,1994,Chile
43,Rosa,513,1994,Chile
44,Michelle,513,1994,Chile
45,Tania,513,1994,Chile
46,Angela,485,1994,Chile
47,Verónica,485,1994,Chile
48,Estefanía,485,1994,Chile
49,Jennifer,485,1994,Chile
50,Evelyn,456,1994,Chile
1,Constanza,4547,2005,Chile
2,Catalina,4379,2005,Chile
3,Valentina,4188,2005,Chile
4,Javiera,3757,2005,Chile
5,Martina,3661,2005,Chile
6,Sofia,3350,2005,Chile
7,Maria,3063,2005,Chile
8,Antonia,3039,2005,Chile
9,Fernanda,2896,2005,Chile
10,Francisca,2824,2005,Chile
11,Isidora,2465,2005,Chile
12,Camila,2226,2005,Chile
13,Florencia,1412,2005,Chile
14,Josefa,1292,2005,Chile
15,Daniela,1244,2005,Chile
16,Antonella,1149,2005,Chile
17,Millaray,1053,2005,Chile
18,Barbara,1005,2005,Chile
19,Belen,1005,2005,Chile
20,Rocio,885,2005,Chile
21,Ignacia,861,2005,Chile
22,Krishna,814,2005,Chile
23,Monserrat,742,2005,Chile
24,Gabriela,742,2005,Chile
25,Anais,718,2005,Chile
26,Carolina,670,2005,Chile
27,Natalia,670,2005,Chile
28,Pia,670,2005,Chile
29,Victoria,622,2005,Chile
30,Paula,622,2005,Chile
31,Emilia,622,2005,Chile
32,Renata,574,2005,Chile
33,Carla,574,2005,Chile
34,Alondra,526,2005,Chile
35,Genesis,526,2005,Chile
36,Amanda,503,2005,Chile
37,Paz,503,2005,Chile
38,Magdalena,479,2005,Chile
39,Alejandra,455,2005,Chile
40,Laura,455,2005,Chile
41,Tamara,455,2005,Chile
42,Nicole,431,2005,Chile
43,Karla,431,2005,Chile
44,Trinidad,431,2005,Chile
45,Claudia,407,2005,Chile
46,Katalina,407,2005,Chile
47,Alexandra,407,2005,Chile
48,Josefina,383,2005,Chile
49,Maite,383,2005,Chile
50,Paloma,359,2005,Chile
51,Macarena,359,2005,Chile
52,Angela,359,2005,Chile
53,Noelia,359,2005,Chile
54,Katherine,335,2005,Chile
55,Agustina,335,2005,Chile
56,Karen,335,2005,Chile
57,Paulina,335,2005,Chile
58,Mariana,311,2005,Chile
59,Matilde,287,2005,Chile
60,Michelle,287,2005,Chile
61,Romina,287,2005,Chile
62,Maura,287,2005,Chile
63,Kiara,287,2005,Chile
64,Ana,287,2005,Chile
65,Almendra,287,2005,Chile
66,Consuelo,287,2005,Chile
67,Valeria,287,2005,Chile
68,Rayen,263,2005,Chile
69,Danae,263,2005,Chile
70,Matilda,263,2005,Chile
71,Dafne,263,2005,Chile
72,Andrea,239,2005,Chile
73,Estefania,239,2005,Chile
74,Thiare,239,2005,Chile
75,Noemi,239,2005,Chile
