Nome;Diffusione (Frequenza);Diffusione (Percentuale)
 ANDREA;2071;1,2
 FRANCESCO;1833;1,1
 MARIA;1723;1,0
 MARCO;1715;1,0
 GIUSEPPE;1692;1,0
 ALESSANDRO;1635;1,0
 LUCA;1634;1,0
 ANNA;1449;0,8
 ANTONIO;1378;0,8
 FRANCESCA;1333;0,8
 GIOVANNI;1323;0,8
 PAOLO;1299;0,8
 STEFANO;1237;0,7
 ROBERTO;1202;0,7
 MATTEO;1171;0,7
 ELENA;1123;0,7
 DAVIDE;1066;0,6
 GIULIA;1032;0,6
 SARA;1004;0,6
 LAURA;997;0,6
 PAOLA;969;0,6
 CHIARA;910;0,5
 LORENZO;886;0,5
 LUIGI;839;0,5
 DANIELA;822;0,5
 DANIELE;795;0,5
 SALVATORE;775;0,5
 SIMONE;774;0,5
 MASSIMO;771;0,4
 SILVIA;767;0,4
 ALBERTO;763;0,4
 GABRIELE;750;0,4
 RICCARDO;743;0,4
 FEDERICO;725;0,4
 CLAUDIO;716;0,4
 GIORGIO;688;0,4
 FRANCO;687;0,4
 CRISTINA;685;0,4
 MONICA;683;0,4
 ELISA;682;0,4
 VALENTINA;667;0,4
 FABIO;660;0,4
 VINCENZO;651;0,4
 FEDERICA;649;0,4
 LUCIA;649;0,4
 PATRIZIA;636;0,4
 MARTINA;635;0,4
 GIOVANNA;630;0,4
 PIETRO;614;0,4
 MARIO;612;0,4
 ANGELA;609;0,4
 MAURO;608;0,4
 GIUSEPPINA;600;0,3
 MICHELE;596;0,3
 BARBARA;586;0,3
 ALESSANDRA;581;0,3
 DOMENICO;569;0,3
 MAURIZIO;557;0,3
 MATTIA;556;0,3
 LUCIANO;536;0,3
 STEFANIA;533;0,3
 ROBERTA;523;0,3
 SIMONA;520;0,3
 CARLA;518;0,3
 ANTONELLA;516;0,3
 ALESSIA;507;0,3
 CLAUDIA;503;0,3
 FILIPPO;500;0,3
 CARLO;493;0,3
 ENRICO;482;0,3
 FRANCA;477;0,3
 ALICE;476;0,3
 SERGIO;459;0,3
 ANGELO;451;0,3
 ELISABETTA;448;0,3
 SOFIA;434;0,3
 GIORGIA;427;0,2
 FABRIZIO;422;0,2
 LUISA;422;0,2
 CATERINA;410;0,2
 ANNA MARIA;408;0,2
 CRISTIAN;408;0,2
 GIANLUCA;408;0,2
 GIANNI;406;0,2
 NICOLA;406;0,2
 RITA;389;0,2
 LEONARDO;388;0,2
 SILVANA;385;0,2
 ROSA;371;0,2
 MARISA;368;0,2
 GIULIANO;358;0,2
 MARTA;358;0,2
 TOMMASO;355;0,2
 ELEONORA;352;0,2
 EMANUELE;350;0,2
 MARINA;347;0,2
 ILARIA;340;0,2
 TERESA;333;0,2
 ROSANNA;331;0,2
 VALERIA;329;0,2
 TIZIANA;326;0,2
 CINZIA;324;0,2
 GIACOMO;322;0,2
 CORRADO;321;0,2
 MASSIMILIANO;319;0,2
 RAFFAELE;318;0,2
 GIANCARLO;314;0,2
 ANNALISA;305;0,2
 GIULIANA;304;0,2
 BRUNO;302;0,2
 MOHAMED;302;0,2
 ANNAMARIA;301;0,2
 BEATRICE;299;0,2
 VERONICA;299;0,2
 MANUELA;297;0,2
 LUCIANA;296;0,2
 ADRIANA;283;0,2
 ANTONIETTA;282;0,2
 LOREDANA;280;0,2
 IVAN;279;0,2
 MARGHERITA;278;0,2
 SAMUELE;275;0,2
 NADIA;274;0,2
 ARIANNA;273;0,2
 CARMELA;273;0,2
 SABRINA;272;0,2
 EMANUELA;268;0,2
 GABRIELLA;266;0,2
 CHRISTIAN;264;0,2
 MATILDE;263;0,2
 NICOLO';263;0,2
 ALEX;257;0,1
 CECILIA;257;0,1
 SONIA;254;0,1
 MIRELLA;253;0,1
 EMMA;250;0,1
 GRETA;247;0,1
 PASQUALE;241;0,1
 AURORA;240;0,1
 IRENE;240;0,1
 GIADA;237;0,1
 VITTORIO;236;0,1
 GRAZIELLA;233;0,1
 GIANFRANCO;232;0,1
 LILIANA;230;0,1
 ALESSIO;228;0,1
 MARA;223;0,1
 LORETTA;218;0,1
 GIULIO;217;0,1
 MARCELLO;213;0,1
 LIDIA;211;0,1
 FAUSTO;209;0,1
 TIZIANO;208;0,1
 CIRO;207;0,1
 ENRICA;205;0,1
 GAETANO;203;0,1
 DIEGO;200;0,1
 MARIANNA;200;0,1
 UMBERTO;200;0,1
 MARIA GRAZIA;196;0,1
 SANDRA;195;0,1
 BRUNA;193;0,1
 SILVANO;191;0,1
 LINA;189;0,1
 DARIO;188;0,1
 CARMINE;187;0,1
 EDOARDO;186;0,1
 ENZO;186;0,1
 RAFFAELLA;186;0,1
 MANUEL;185;0,1
 GUIDO;183;0,1
 LETIZIA;183;0,1
 MIRCO;182;0,1
 ALFREDO;181;0,1
 IVANO;179;0,1
 NICOLE;178;0,1
 SERENA;178;0,1
 FILOMENA;177;0,1
 DEANNA;175;0,1
 ALDO;174;0,1
 LORENA;173;0,1
 EDDA;172;0,1
 ADELE;171;0,1
 ISABELLA;171;0,1
 MARIA TERESA;171;0,1
 ERIKA;170;0,1
 JESSICA;169;0,1
 BENEDETTA;168;0,1
 MAURA;168;0,1
 VITTORIA;168;0,1
 ROMANO;167;0,1
 MARIA LUISA;166;0,1
 LISA;165;0,1
 GENNARO;164;0,1
 ROSSELLA;163;0,1
 ADRIANO;162;0,1
 NOEMI;162;0,1
 RENZO;162;0,1
 CAMILLA;160;0,1
 AHMED;158;0,1
 DANIEL;155;0,1
 ROSSANA;155;0,1
 GAIA;154;0,1
 GINO;154;0,1
 MARZIA;154;0,1
 VANNA;152;0,1
 LINDA;149;0,1
 EMILIO;148;0,1
 CONCETTA;146;0,1
 ROSARIO;146;0,1
 VALERIO;145;0,1
 OLGA;144;0,1
 CARLOTTA;142;0,1
 CARMEN;141;0,1
 GLORIA;141;0,1
 ROSARIA;141;0,1
 VINCENZA;141;0,1
 JACOPO;140;0,1
 LARA;140;0,1
 CAROLINA;139;0,1
 DANILO;139;0,1
 REBECCA;138;0,1
 TATIANA;138;0,1
 DEBORA;137;0,1
 BIANCA;135;0,1
 DOMENICA;135;0,1
 EMILIA;135;0,1
 LORENZA;134;0,1
 RENATO;134;0,1
 MARIA CRISTINA;133;0,1
 CESARE;132;0,1
 EUGENIO;132;0,1
 GIANNA;131;0,1
 GRAZIA;131;0,1
 MADDALENA;131;0,1
 MARIAGRAZIA;131;0,1
 CLARA;128;0,1
 DONATELLA;128;0,1
 THOMAS;128;0,1
 CATIA;126;0,1
 NICOLETTA;124;0,1
 IVANA;123;0,1
 KATIA;123;0,1
 VIOLA;123;0,1
 NATALIA;122;0,1
 RINA;122;0,1
 IDA;120;0,1
 MORENA;119;0,1
 ASIA;118;0,1
 VITO;118;0,1
 AGNESE;117;0,1
 ARMANDO;117;0,1
 FATIMA;117;0,1
 MARIYA;117;0,1
 OMAR;117;0,1
 ANTONIA;115;0,1
 ERMANNO;112;0,1
 MIRIAM;112;0,1
 SAMUEL;112;0,1
 KHADIJA;110;0,1
 MICHELA;110;0,1
 ALFONSO;109;0,1
 ASSUNTA;109;0,1
 ETTORE;109;0,1
 SANDRO;109;0,1
 WILLIAM;108;0,1
 ROCCO;107;0,1
 SUSANNA;106;0,1
 INES;104;0,1
 VIRGINIA;104;0,1
 DIANA;103;0,1
 GRAZIANO;103;0,1
 MARIALUISA;103;0,1
 ANGELICA;102;0,1
 ELIA;102;0,1
 MIRKO;102;0,1
 LORIS;100;0,1
 MILENA;100;0,1
 MOHAMMED;100;0,1
